audio_id,filepath,embedding_row,status
libri100_01383,./data/audio_clean/libri100_01383.wav,0,ok
libri100_01881,./data/audio_clean/libri100_01881.wav,1,ok
libri360_01901,./data/audio_clean/libri360_01901.wav,2,ok
libri100_01524,./data/audio_clean/libri100_01524.wav,3,ok
libri360_01654,./data/audio_clean/libri360_01654.wav,4,ok
libri100_00960,./data/audio_clean/libri100_00960.wav,5,ok
libri100_00431,./data/audio_clean/libri100_00431.wav,6,ok
libri100_00376,./data/audio_clean/libri100_00376.wav,7,ok
libri100_00297,./data/audio_clean/libri100_00297.wav,8,ok
libri100_00716,./data/audio_clean/libri100_00716.wav,9,ok
libri360_00987,./data/audio_clean/libri360_00987.wav,10,ok
libri100_01334,./data/audio_clean/libri100_01334.wav,11,ok
libri100_01173,./data/audio_clean/libri100_01173.wav,12,ok
libri100_01859,./data/audio_clean/libri100_01859.wav,13,ok
libri360_01175,./data/audio_clean/libri360_01175.wav,14,ok
libri360_01182,./data/audio_clean/libri360_01182.wav,15,ok
libri100_01250,./data/audio_clean/libri100_01250.wav,16,ok
libri360_00161,./data/audio_clean/libri360_00161.wav,17,ok
libri100_01778,./data/audio_clean/libri100_01778.wav,18,ok
libri360_01856,./data/audio_clean/libri360_01856.wav,19,ok
libri100_02229,./data/audio_clean/libri100_02229.wav,20,ok
libri360_01888,./data/audio_clean/libri360_01888.wav,21,ok
libri100_00165,./data/audio_clean/libri100_00165.wav,22,ok
libri100_02980,./data/audio_clean/libri100_02980.wav,23,ok
libri360_01531,./data/audio_clean/libri360_01531.wav,24,ok
libri100_01088,./data/audio_clean/libri100_01088.wav,25,ok
libri360_01544,./data/audio_clean/libri360_01544.wav,26,ok
libri100_02720,./data/audio_clean/libri100_02720.wav,27,ok
libri100_00809,./data/audio_clean/libri100_00809.wav,28,ok
libri100_00833,./data/audio_clean/libri100_00833.wav,29,ok
libri100_01662,./data/audio_clean/libri100_01662.wav,30,ok
libri360_01516,./data/audio_clean/libri360_01516.wav,31,ok
libri100_02333,./data/audio_clean/libri100_02333.wav,32,ok
libri100_01446,./data/audio_clean/libri100_01446.wav,33,ok
libri360_00883,./data/audio_clean/libri360_00883.wav,34,ok
libri360_00207,./data/audio_clean/libri360_00207.wav,35,ok
libri100_00998,./data/audio_clean/libri100_00998.wav,36,ok
libri100_00371,./data/audio_clean/libri100_00371.wav,37,ok
libri100_00015,./data/audio_clean/libri100_00015.wav,38,ok
libri100_01078,./data/audio_clean/libri100_01078.wav,39,ok
libri100_02471,./data/audio_clean/libri100_02471.wav,40,ok
libri100_02772,./data/audio_clean/libri100_02772.wav,41,ok
libri360_01386,./data/audio_clean/libri360_01386.wav,42,ok
libri360_00902,./data/audio_clean/libri360_00902.wav,43,ok
libri100_01347,./data/audio_clean/libri100_01347.wav,44,ok
libri100_00695,./data/audio_clean/libri100_00695.wav,45,ok
libri100_01916,./data/audio_clean/libri100_01916.wav,46,ok
libri360_01098,./data/audio_clean/libri360_01098.wav,47,ok
libri100_02311,./data/audio_clean/libri100_02311.wav,48,ok
libri100_00933,./data/audio_clean/libri100_00933.wav,49,ok
libri100_00630,./data/audio_clean/libri100_00630.wav,50,ok
libri360_00992,./data/audio_clean/libri360_00992.wav,51,ok
libri100_01850,./data/audio_clean/libri100_01850.wav,52,ok
libri100_00155,./data/audio_clean/libri100_00155.wav,53,ok
libri100_02884,./data/audio_clean/libri100_02884.wav,54,ok
libri100_01668,./data/audio_clean/libri100_01668.wav,55,ok
libri100_00492,./data/audio_clean/libri100_00492.wav,56,ok
libri360_01755,./data/audio_clean/libri360_01755.wav,57,ok
libri100_02623,./data/audio_clean/libri100_02623.wav,58,ok
libri100_01194,./data/audio_clean/libri100_01194.wav,59,ok
libri100_01181,./data/audio_clean/libri100_01181.wav,60,ok
libri360_01883,./data/audio_clean/libri360_01883.wav,61,ok
libri360_01707,./data/audio_clean/libri360_01707.wav,62,ok
libri360_00564,./data/audio_clean/libri360_00564.wav,63,ok
libri360_01590,./data/audio_clean/libri360_01590.wav,64,ok
libri100_01759,./data/audio_clean/libri100_01759.wav,65,ok
libri360_00838,./data/audio_clean/libri360_00838.wav,66,ok
libri360_01486,./data/audio_clean/libri360_01486.wav,67,ok
libri100_00018,./data/audio_clean/libri100_00018.wav,68,ok
libri100_02149,./data/audio_clean/libri100_02149.wav,69,ok
libri100_02621,./data/audio_clean/libri100_02621.wav,70,ok
libri100_02581,./data/audio_clean/libri100_02581.wav,71,ok
libri360_01682,./data/audio_clean/libri360_01682.wav,72,ok
libri100_01740,./data/audio_clean/libri100_01740.wav,73,ok
