client_id	audio_id	audio_file	duration_ms	prompt_id	prompt	transcription	votes	age	gender	language	split	char_per_sec	quality_tags
9f2fa8b056f6a9ea26b482e662066df3	68284	spontaneous-speech-fr-68284.mp3	13356	1723	Pouvez-vous décrire l'un de vos hobbies et nous expliquer en quoi il consiste ?		0			French			
b347117ac2ccf1e17a0fdc7550900f09	71750	spontaneous-speech-fr-71750.mp3	16452	1723	Pouvez-vous décrire l'un de vos hobbies et nous expliquer en quoi il consiste ?		0			French			
543eb6b0dc3df3d1e0dc97e8fe9cb11b	67679	spontaneous-speech-fr-67679.mp3	12060	1744	Quel est votre emploi de rêve ?	Mon emploi de rêve, je dirais, que c'est un emploi dans lequel tu... t'as du plaisir mais dans lequel t'as pas la pression financière donc ce serait plutôt... une passion plutôt qu'un travail en fait parce que...	1			French		14.593698175787727	
98224ff9c845fcc243ec6f725aaa31f5	72819	spontaneous-speech-fr-72819.mp3	28080	1744	Quel est votre emploi de rêve ?		0			French			
bfa647cc5652398e7dc18610a08674fc	63398	spontaneous-speech-fr-63398.mp3	9000	1761	Comment essayez-vous d'économiser de l'argent dans votre famille ?	Nous ne faisons pas d'achat spontané, nous réfléchissons à nos achats	1			French		6.555555555555555	
b597fa07c1aa693be6fbb853d062f9d3	71015	spontaneous-speech-fr-71015.mp3	34092	1761	Comment essayez-vous d'économiser de l'argent dans votre famille ?	Hé ben écoute, on essaye plutôt de ne pas faire des dépenses qui sont irresponsables. On essaye plutôt de... de dépenser des sous, du coup, dans les choses qui sont uniquement nécessaires. Donc ça veut dire peut-être faire moins de cadeaux d'anniversaire, moins de cadeaux de Noël mais heu... par contre effectivement on doit remplacer l'électroménager si jamais ça casse mais on reste vraiment dans des dépenses strictement nécessaires.	1			French		10.823653643083421	
083fcf8cb9c457399752879a043f9f00	72396	spontaneous-speech-fr-72396.mp3	16128	1761	Comment essayez-vous d'économiser de l'argent dans votre famille ?		0			French			
721a5ecd0b0131aafc854063b2ca8dc5	72656	spontaneous-speech-fr-72656.mp3	7956	1761	Comment essayez-vous d'économiser de l'argent dans votre famille ?		0			French			
05b125967de7adc88ccaf4ae3d0ebdda	79204	spontaneous-speech-fr-79204.mp3	6588	9426	Quelle est la capitale de la France?		0			French			
b597fa07c1aa693be6fbb853d062f9d3	71025	spontaneous-speech-fr-71025.mp3	19188	1719	Expliquez un projet créatif que vous avez réalisé récemment. Quels matériaux avez-vous utilisés et quel était le processus de création ?	"Ha ! J'ai modélisé l'entièreté du niveau terreur de ""Monstres et compagnie"" dans Blender. C'était, du coup, assez rigolo parce que c'était une occasion pour moi d'apprendre la 3D. Et c'était très agréable parce que c'est mon film préféré. Donc voilà."	1			French		10.944340212632897	
c68a599099184795da8fe86d676e40e4	71462	spontaneous-speech-fr-71462.mp3	11484	1719	Expliquez un projet créatif que vous avez réalisé récemment. Quels matériaux avez-vous utilisés et quel était le processus de création ?		0			French			
9f2fa8b056f6a9ea26b482e662066df3	68336	spontaneous-speech-fr-68336.mp3	3384	7227	Quelle heure est-il ?		0			French			
083fcf8cb9c457399752879a043f9f00	72386	spontaneous-speech-fr-72386.mp3	2880	7227	Quelle heure est-il ?	Dix-huit heures, tout rond.	1			French		8.333333333333334	
047bca920b3e5a7025f9bc4daa580ca3	72773	spontaneous-speech-fr-72773.mp3	4932	7227	Quelle heure est-il ?		0			French			
98224ff9c845fcc243ec6f725aaa31f5	72824	spontaneous-speech-fr-72824.mp3	4140	7227	Quelle heure est-il ?		0			French			
9f2fa8b056f6a9ea26b482e662066df3	68292	spontaneous-speech-fr-68292.mp3	1512	6871	Est-ce que vous trouvez le temps de lire ?	oui !	1			French		2.6455026455026456	short-audio|transcription-length
c68a599099184795da8fe86d676e40e4	71480	spontaneous-speech-fr-71480.mp3	16056	6871	Est-ce que vous trouvez le temps de lire ?	J'ai toujours trouvé du temps pour lire ne serait-ce que cinq minutes, dix minutes, un quart d'heure. C'est très facile. Et puis sinon dans les transports en commun c'est extraordinairement facile de lire pendant longtemps.	1			French		11.771300448430493	
083fcf8cb9c457399752879a043f9f00	72393	spontaneous-speech-fr-72393.mp3	34560	6871	Est-ce que vous trouvez le temps de lire ?		0			French			
05b125967de7adc88ccaf4ae3d0ebdda	79180	spontaneous-speech-fr-79180.mp3	6552	6871	Est-ce que vous trouvez le temps de lire ?		0			French			
