audio_file,audio_path,query_text,chunk_id,doc_title,match_score,source_audio,audio_id,embedding_row
libri100_00752.wav,./data/audio_clean/libri100_00752.wav,SHE HAS SINCE TAKEN UP PRIVATE PRACTICE AND ALSO HAD CHARGE OF A MISSION HOSPITAL DOCTOR PICOTTE IS A SISTER OF BRIGHT EYES SUSETTE LA FLESCHE AND ALSO OF FRANCIS LA FLESCHE OF WASHINGTON D C,doc00227_chunk031,Aarhus,0.1765,librispeech_train.100,libri100_00752,1448
libri360_01714.wav,./data/audio_clean/libri360_01714.wav,IT SEEMS SO BUT IF THE BAD WERE TO ATTAIN THE GOOD WHICH IS THEIR OBJECT THEY COULD NOT BE BAD NO,doc00089_chunk030,Albert Einstein,0.1538,librispeech_train.360,libri360_01714,2413
libri100_00166.wav,./data/audio_clean/libri100_00166.wav,HE STRUCK IT PRETTY HARD AT FIRST GETTING CAUGHT IN THAT TRAP FRANK MUSED BUT WHEN YOU COME RIGHT DOWN TO FACTS I GUESS IT WAS JUST AS WELL THAT IT HAPPENED TO HIM HUH THAT'S A QUEER THING TO SAY REMONSTRATED BLUFF,doc00121_chunk007,Alfred Hitchcock,0.1111,librispeech_train.100,libri100_00166,4383
libri100_00546.wav,./data/audio_clean/libri100_00546.wav,RUM COVE SAID FISHER HE PAUSED FOR A MOMENT BEFORE THE CLOSED DOOR OF THE ROOM AND SMILINGLY SURVEYED THE GREAT STEEL LATCH WHICH SPANNED THE DOOR AND FITTED INTO AN IRON SOCKET SECURELY SCREWED TO THE FRAMEWORK HE LIFTED IT GINGERLY,doc00446_chunk001,Abner,0.0526,librispeech_train.100,libri100_00546,3007
libri100_02479.wav,./data/audio_clean/libri100_02479.wav,TOP SPRANG FORWARDS THEN ALMOST IMMEDIATELY DISAPPEARED HE WILL GET THERE SAID THE REPORTER YES AND HE WILL COME BACK THE FAITHFUL ANIMAL WHAT O'CLOCK IS IT ASKED GIDEON SPILETT TEN,doc00068_chunk005,Aardvark,0.0526,librispeech_train.100,libri100_02479,3610
libri100_00702.wav,./data/audio_clean/libri100_00702.wav,PERFORMED MOST OF THEIR CURES THE FIRST THAT EVER WROTE IN PHYSIC TO ANY PURPOSE WAS HIPPOCRATES AND HIS DISCIPLE AND COMMENTATOR GALEN WHOM SCALIGER CALLS FIMBRIAM HIPPOCRATIS,doc00401_chunk005,Antonio Vivaldi,0.1111,librispeech_train.100,libri100_00702,1818
libri100_02982.wav,./data/audio_clean/libri100_02982.wav,IT IS THE CIVIL LAW WHICH HOLDS THAT WHEN ONCE ACQUIRED PROPERTY CAN BE LOST ONLY BY THE ACTION OF THE PROPRIETOR AND THAT IT EXISTS EVEN AFTER THE PROPRIETOR HAS RELINQUISHED POSSESSION OF THE THING,doc00232_chunk007,André Gide,0.1111,librispeech_train.100,libri100_02982,1578
libri100_01043.wav,./data/audio_clean/libri100_01043.wav,HE NOW EXPLAINED THE MYSTERY,doc00260_chunk022,Augustin-Jean Fresnel,0.0,librispeech_train.100,libri100_01043,1397
libri360_00408.wav,./data/audio_clean/libri360_00408.wav,KATY WAS TO MAKE ROSE RED A VISIT ROSE HAD BY NO MEANS BEEN IDLE DURING THE THREE YEARS AND A HALF WHICH HAD ELAPSED SINCE THEY ALL PARTED AT HILLSOVER AND DURING WHICH THE GIRLS HAD NOT SEEN HER,doc00529_chunk002,Age of consent,0.0526,librispeech_train.360,libri360_00408,1755
libri360_01701.wav,./data/audio_clean/libri360_01701.wav,SHE SPRANG INTO AIR AND FLED A MILE BEFORE SHE REALIZED THAT SHE WAS FLYING THEN SHE STOPPED AND LISTENED AND ROLLING WITH THE RIVER SHE HEARD THOSE BOLD TRUE TONES,doc00102_chunk021,Algorithm,0.1111,librispeech_train.360,libri360_01701,2005
